Date,Open,High,Low,Close,Volume,Adj Close
2017-09-12,42.72,43.85,42.61,43.57,4984400,43.57
2017-09-11,41.65,42.86,41.60,42.50,3335200,42.50
2017-09-10,41.82,42.24,41.52,41.67,2017400,41.67
2017-09-07,41.31,41.35,40.88,41.27,1870300,41.27
2017-09-06,39.78,41.36,39.78,41.25,2389300,41.25
2017-09-05,39.71,40.31,39.18,39.89,1890000,39.89
2017-09-04,39.60,39.90,39.26,39.72,1055200,39.72
2017-08-31,39.24,39.80,39.00,39.60,1553600,39.60
2017-08-30,38.54,39.25,38.52,39.06,1236400,39.06
2017-08-29,38.74,39.00,38.48,38.95,982500,38.95
2017-08-28,38.47,38.73,38.02,38.60,1179700,38.60
2017-08-27,38.68,39.09,38.48,38.52,1382300,38.52
2017-08-24,38.15,38.67,38.09,38.59,862000,38.59
2017-08-23,38.43,38.83,38.13,38.28,930700,38.28
2017-08-22,38.55,38.86,38.38,38.54,1620200,38.54
2017-08-21,38.81,39.03,38.44,38.56,1488200,38.56
2017-08-20,39.53,39.63,38.58,38.73,1520900,38.73
2017-08-17,39.18,39.80,39.10,39.71,1556000,39.71
2017-08-16,38.97,39.31,38.86,39.22,1326400,39.22
2017-08-15,38.99,39.13,38.76,39.03,1336000,38.87
2017-08-14,39.54,39.66,38.92,38.99,873300,38.83
2017-08-13,39.49,39.63,39.07,39.25,936100,39.09
2017-08-10,39.33,39.66,39.24,39.61,1356600,39.45
2017-08-09,39.86,40.31,39.59,39.60,1315200,39.44
2017-08-08,40.56,40.75,39.54,39.83,2472900,39.67
2017-08-07,40.48,41.00,40.48,40.84,1164700,40.67
2017-08-06,40.84,40.93,40.19,40.23,752900,40.07
2017-08-03,40.24,40.86,40.13,40.65,1255600,40.48
2017-08-02,39.88,40.48,39.50,39.84,1627100,39.68
2017-08-01,40.75,40.95,40.17,40.35,1180900,40.18
2017-07-31,40.78,40.90,40.24,40.53,1460600,40.36
2017-07-30,40.77,41.24,40.71,40.80,1595900,40.63
2017-07-27,40.37,41.17,39.96,40.91,2628100,40.74
2017-07-26,36.85,40.39,36.85,40.09,4191600,39.93
2017-07-25,36.02,36.13,35.52,36.05,1515000,35.90
2017-07-24,35.85,36.20,35.52,35.76,1976500,35.61
2017-07-23,35.76,35.93,35.13,35.80,1429000,35.65
2017-07-20,36.76,37.10,36.30,36.31,1275500,36.16
2017-07-19,36.78,37.12,36.44,36.99,1148900,36.84
2017-07-18,36.21,36.84,36.14,36.74,1077900,36.59
